"Path","Name","Extension","SizeKB","Width","Height"
"C:\Users\colle\saffron-restaurant\img\Rotating-Pizza-Slice-Preloader.gif","Rotating-Pizza-Slice-Preloader.gif","GIF","161.99","880","440"
"C:\Users\colle\saffron-restaurant\img\dish\shakes.jpg","shakes.jpg","JPG","154.21","800","800"
"C:\Users\colle\saffron-restaurant\img\slider\authentic.jpg","authentic.jpg","JPG","146.63","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide5.jpg","slide5.jpg","JPG","146.42","2500","1327"
"C:\Users\colle\saffron-restaurant\css\color\img\client\left-back2.jpg","left-back2.jpg","JPG","143.55","700","673"
"C:\Users\colle\saffron-restaurant\img\special-dishes-back3.jpg","special-dishes-back3.jpg","JPG","142.19","1920","731"
"C:\Users\colle\saffron-restaurant\css\color\img\chef\1.png","1.png","PNG","139.43","470","472"
"C:\Users\colle\saffron-restaurant\img\dish\carrot-halwa.jpg","carrot-halwa.jpg","JPG","136.62","800","800"
"C:\Users\colle\saffron-restaurant\img\chef\12.jpeg","12.jpeg","JPEG","130.58","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\veg-bir.jpg","veg-bir.jpg","JPG","129.34","800","800"
"C:\Users\colle\saffron-restaurant\img\slider\slide1.jpg","slide1.jpg","JPG","128.22","1200","770"
"C:\Users\colle\saffron-restaurant\css\color\img\special-dishes-back.jpg","special-dishes-back.jpg","JPG","128.02","1920","731"
"C:\Users\colle\saffron-restaurant\css\color\img\table-reservation1.jpg","table-reservation1.jpg","JPG","127.8","1920","522"
"C:\Users\colle\saffron-restaurant\css\color\img\blog\5.jpg","5.jpg","JPG","127.59","803","417"
"C:\Users\colle\saffron-restaurant\css\color\img\client\left-back.jpg","left-back.jpg","JPG","126.76","739","645"
"C:\Users\colle\saffron-restaurant\img\chef\about-img.jpeg","about-img.jpeg","JPEG","124.17","512","512"
"C:\Users\colle\saffron-restaurant\img\slider\slide6.jpg","slide6.jpg","JPG","123.75","1500","1000"
"C:\Users\colle\saffron-restaurant\img\chef\11.jpeg","11.jpeg","JPEG","122.9","512","512"
"C:\Users\colle\saffron-restaurant\img\tasty-menu-back.jpg","tasty-menu-back.jpg","JPG","116.86","1920","1224"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\single-menu4.jpg","single-menu4.jpg","JPG","116.71","739","428"
"C:\Users\colle\saffron-restaurant\img\dish\vegsamosa.jpg","vegsamosa.jpg","JPG","115.34","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\paanipuri.jpg","paanipuri.jpg","JPG","113.2","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\Manchurian_gobi.jpg","Manchurian_gobi.jpg","JPG","112.94","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\chanarice.jpeg","chanarice.jpeg","JPEG","112.62","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\tandoori-chicken.jpg","tandoori-chicken.jpg","JPG","111.61","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\blog\4.jpg","4.jpg","JPG","109.4","803","417"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\single-menu2.jpg","single-menu2.jpg","JPG","108.99","739","428"
"C:\Users\colle\saffron-restaurant\img\dish\noodles-.png","noodles-.png","PNG","107.95","354","295"
"C:\Users\colle\saffron-restaurant\fonts\glyphicons-halflings-regular.svg","glyphicons-halflings-regular.svg","SVG","106.47",,
"C:\Users\colle\saffron-restaurant\img\dish\chicken tikka.jpg","chicken tikka.jpg","JPG","105.99","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\single-menu1.jpg","single-menu1.jpg","JPG","105.77","739","428"
"C:\Users\colle\saffron-restaurant\img\dish\paanipuri-101.jpg","paanipuri-101.jpg","JPG","101.02","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\single-menu3.jpg","single-menu3.jpg","JPG","100","739","428"
"C:\Users\colle\saffron-restaurant\samosa_1.jpg","samosa_1.jpg","JPG","99.81","800","600"
"C:\Users\colle\saffron-restaurant\img\dish\vegsamosa_bkp.jpg","vegsamosa_bkp.jpg","JPG","99.81","800","600"
"C:\Users\colle\saffron-restaurant\img\dish\lambton.jpg","lambton.jpg","JPG","98.73","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-tikka.jpg","chicken-tikka.jpg","JPG","96.38","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\vegnoodles.jpg","vegnoodles.jpg","JPG","92.43","800","800"
"C:\Users\colle\saffron-restaurant\img\table-reservation.jpg","table-reservation.jpg","JPG","92.34","1920","522"
"C:\Users\colle\saffron-restaurant\img\dish\chana-masala-bowl.jpg","chana-masala-bowl.jpg","JPG","92.29","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\Bhel-Puri--bowl.jpg","Bhel-Puri--bowl.jpg","JPG","91.68","805","765"
